"",rat,gtyp,age,sex,vessel_idx,frequency_empa,frequency_vehicle,frequency_change,frequency_vehicle_std,frequency_empa_std,frequency_change_std,log_frequency_vehicle,log_frequency_empa,log_frequency_vehicle_std,log_frequency_change
133,20240821a,fa/fa,Young,M,8.0,0.0250627030205458,0.0247767692154389,0.0002859338051068999,-0.5680103608994992,-1.0025780687514876,-0.8454643419857933,-3.6978487899963213,-3.6863744733777524,-0.4924123910221274,0.011474316618568903
134,20240821a,fa/fa,Young,M,13.0,0.0236992010884298,0.0243280246129787,-0.000628823524548898,-0.6848811069657961,-1.3055540600757634,-1.1772516737029963,-3.7161263168935643,-3.742313940758178,-0.6146304951885737,-0.026187623864613485
136,20240821a,fa/fa,Young,M,15.0,0.0228273073008506,0.0219538829897304,0.0008734243111202002,-1.3032009736670043,-1.499292608147592,-0.6323784217311977,-3.818811253523946,-3.7797977710448114,-1.3012637772498328,0.03901348247913461
138,20240821a,fa/fa,Young,M,17.0,0.0243477957183471,0.0243473016667377,4.940516093975e-7,-0.6798606038947324,-1.1614335448507969,-0.9489948534216381,-3.7153342501016113,-3.7153139584650425,-0.6093341056808502,0.000020291636568803284
139,20240821a,fa/fa,Young,M,18.0,0.0245233721255219,0.0239099417939936,0.0006134303315282995,-0.7937663185191152,-1.1224197123332391,-0.7266796161078444,-3.7334609318940553,-3.7081286518592114,-0.7305435393179089,0.02533228003484389
154,20240821b,fa/+,Young,M,12.0,0.0317752371149885,0.0254877700048252,0.0062874671101633035,-0.3828377877838759,0.48897586576010654,1.331323596128728,-3.669556549520208,-3.449067999621685,-0.30322793444593005,0.22048854989852318
166,20240822b,fa/+,Young,M,0.0,0.0335672402214182,0.0322052399497858,0.0013620002716323992,1.3666556208083769,0.8871666602418926,-0.45516933138096494,-3.4356261083112782,-3.394204681038399,1.2610173374725748,0.04142142727287945
168,20240822b,fa/+,Young,M,2.0,0.033466065297272,0.0301196732828838,0.0033463920143882026,0.8234920239750206,0.8646851571223609,0.26458007107349507,-3.5025767232910883,-3.3972233297590857,0.8133321948593084,0.10535339353200257
169,20240822b,fa/+,Young,M,3.0,0.0338521662996487,0.0299711901468164,0.0038809761528322967,0.7848211746872025,0.9504784597873873,0.45847657140484016,-3.507518687170218,-3.385752284636164,0.7802862877427705,0.12176640253405413
173,20240822b,fa/+,Young,M,9.0,0.0262862006827304,0.0236637586742645,0.0026224420084659007,-0.8578820866284829,-0.7307116281164941,0.0019995669610060186,-3.7438105710768284,-3.6387111663653573,-0.7997494711070776,0.10509940471147106
175,20240822b,fa/+,Young,M,11.0,0.0304431411468084,0.0288337147394712,0.0016094264073371993,0.4885778354700161,0.19297841464384166,-0.3654265605922533,-3.546209925841363,-3.491894559893059,0.5215658457035319,0.054315365948303995
180,20240822b,fa/+,Young,M,17.0,0.0332316602146533,0.0307411172395674,0.0024905429750858993,0.9853404750935948,0.8125993400031751,-0.04584091151616097,-3.4821541967186307,-3.4042522365439694,0.9498934754968509,0.07790196017466133
183,20240822b,fa/+,Young,M,20.0,0.0306934160236158,0.0288804102948211,0.0018130057287947011,0.5007391948753518,0.24859056825964815,-0.2915872617209353,-3.5445917581740414,-3.483707109160672,0.5323862037112284,0.06088464901336943
185,20240822b,fa/+,Young,M,26.0,0.0341219976984137,0.0305802252818896,0.003541772416524102,0.9434378805514375,1.0104361566601545,0.3354455784522621,-3.4874017115400897,-3.377813008881104,0.9148044113871552,0.10958870265898568
187,20240822b,fa/+,Young,M,29.0,0.0295819869041649,0.0267787212910596,0.002803265613105302,-0.04662329265612466,0.0016262396284979113,0.06758524673617443,-3.6201476885126014,-3.520589653429125,0.0271590678724198,0.09955803508347616
193,20240823a,fa/fa,Young,F,2.0,0.0352020530881443,0.0322854745258008,0.002916578562343501,1.3875518604684793,1.2504291076645806,0.10868445398810804,-3.4331378549847495,-3.346650871711266,1.2776557812819538,0.08648698327348336
194,20240823a,fa/fa,Young,F,3.0,0.0352359818970816,0.0319727424676541,0.0032632394294275016,1.3061041310605368,1.2579682348781944,0.23442018779616722,-3.442871537054181,-3.345687505496736,1.2125686294056088,0.09718403155744504
195,20240823a,fa/fa,Young,F,4.0,0.0337631525673051,0.0310787556169447,0.0026843969503604036,1.0732747897312818,0.9306992257701524,0.024470952749853583,-3.4712307923490773,-3.3883852318812124,1.0229360583690266,0.08284556046786484
196,20240823a,fa/fa,Young,F,5.0,0.0376747628574978,0.032672715504777,0.0050020473527207995,1.4884046437048102,1.799875849162387,0.8650950373273468,-3.421214937607666,-3.2787648289154583,1.357381904304654,0.14245010869220787
