"",rat,gtyp,age,sex,vessel_idx,power_empa,power_vehicle,power_ratio,power_change,power_vehicle_std,power_empa_std,power_change_std,log_power_vehicle,log_power_empa,log_power_vehicle_std,log_power_change
463,20241014b,fa/+,Adult,M,2,2.33526943366565,6.531207111971464,0.35755556264403043,-4.195937678305814,-0.6303688940742698,-0.7143099245263457,0.3750227380448277,1.8765917825554232,0.848127273614216,-0.7363814335451749,-1.0284645089412072
464,20241014b,fa/+,Adult,M,3,1.5319102796584525,5.118340474433946,0.29929823686218754,-3.5864301947754935,-0.7139711569433493,-0.8128197203362498,0.42236855469996976,1.632830260424083,0.4265155054118397,-1.0285914945936918,-1.2063147550122433
465,20241014b,fa/+,Adult,M,4,4.280166625976561,7.022889057696237,0.6094595245365603,-2.7427224317196766,-0.6012750488504163,-0.4758220398359976,0.487906770619469,1.949174680055988,1.4539919401388366,-0.6493724063440302,-0.49518273991715134
466,20241014b,fa/+,Adult,M,5,3.858864384795982,3.313027967403123,1.164754545619096,0.5458364173928589,-0.8207952596319656,-0.527483115142027,0.743358112131967,1.1978625649975285,1.3503729393611288,-1.5500106903855646,0.15251037436360027
467,20241014b,fa/+,Adult,M,6,2.233056173274655,5.839958333434678,0.3823753605381151,-3.6069021601600233,-0.6712715246239476,-0.7268435557919593,0.4207783167687596,1.764723662128841,0.8033711285087688,-0.8704837726404381,-0.9613525336200721
468,20241014b,fa/+,Adult,M,7,2.8518557273904688,4.283523787597048,0.6657732905903366,-1.431668060206579,-0.7633689997730687,-0.6509648937774071,0.5897479154386429,1.4547759857150626,1.0479699148035309,-1.2420347403847096,-0.40680607091153176
469,20241014b,fa/+,Adult,M,8,1.6277948424454134,9.761507036677036,0.16675650965873187,-8.133712194231624,-0.4392253167003355,-0.8010621289098617,0.06914109541026321,2.27844679800068,0.4872262414854709,-0.25465619008102697,-1.791220556515209
470,20241014b,fa/+,Adult,M,9,2.241735373492016,3.731960401143112,0.6006857341801818,-1.4902250276510962,-0.7960061546171027,-0.7257792917738786,0.5851992798280494,1.3169336723026286,0.807250286235009,-1.4072737430998863,-0.5096833860676195
471,20241014b,fa/+,Adult,M,10,5.144753720747862,7.884779097579632,0.6524918018726906,-2.7400253768317704,-0.5502752193094207,-0.36980432939980556,0.48811627463653545,2.064934204496831,1.6379775004528283,-0.5106052317381038,-0.42695670404400277
472,20241014b,fa/+,Adult,M,11,1.7754373999790374,6.937428333097198,0.255921548264326,-5.161990933118161,-0.6063319379955683,-0.7829578499918436,0.29998086978666166,1.9369311486548266,0.5740468150937375,-0.6640493866438787,-1.3628843335610892
473,20241014b,fa/+,Adult,M,12,2.8010242971450245,3.4508953355763063,0.8116804552918288,-0.6498710384312818,-0.8126373601891907,-0.6571979637427232,0.6504769785833909,1.2386337149327615,1.0299851706941239,-1.5011361177810603,-0.20864854423863766
475,20241014b,fa/+,Adult,M,14,3.173850503891551,2.4626273253786457,1.2888066623737109,0.7112231785129053,-0.871115237561713,-0.6114811342076578,0.7562051591014697,0.9012287984649324,1.1549455207717632,-1.905601557515275,0.25371672230683073
478,20241014b,fa/+,Adult,M,17,1.8119072589574683,2.5151674120987333,0.7203923087750079,-0.703260153141265,-0.8680063311550952,-0.7784858297960682,0.6463297756289691,0.9223393667831339,0.5943800247201642,-1.8802951826489958,-0.3279593420629697
479,20241014b,fa/+,Adult,M,18,1.8119072589574683,3.695432641586359,0.49030991353143993,-1.8835253826288907,-0.7981675782613078,-0.7784858297960682,0.5546481758623921,1.307097635931879,0.5943800247201642,-1.4190647294837977,-0.712717611211715
480,20241014b,fa/+,Adult,M,19,1.3277615027902017,2.0210261600252104,0.6569739318830188,-0.6932646572350087,-0.8972456986599492,-0.8378529252531544,0.6471062138669604,0.7036053824372697,0.28349444365335996,-2.142503386635562,-0.4201109387839097
482,20241015a,fa/+,Adult,M,0,1.5388827356439987,4.589209469881924,0.3353263227018471,-3.050326734237925,-0.7452809410089127,-0.8119647413246788,0.4640124341217328,1.523707780455479,0.43105665679064953,-1.1594024866427592,-1.0926511236648295
483,20241015a,fa/+,Adult,M,1,1.6861818399468356,6.797911463155374,0.24804410135170601,-5.111729623208538,-0.6145874418949856,-0.7939025774525481,0.30388510858295187,1.9166154272343272,0.5224667066387148,-0.6884029357381865,-1.3941487205956125
484,20241015a,fa/+,Adult,M,2,4.013567082716042,14.999527532404116,0.2675795670260522,-10.985960449688074,-0.12928072974297447,-0.5085131051442198,-0.15241815793247632,2.708018702766417,1.3896803927181676,0.26029478092862224,-1.3183383100482495
485,20241015a,fa/+,Adult,M,3,2.2282146099970093,11.05005675476867,0.20164734529851347,-8.821842144771662,-0.36297914498838263,-0.7274372397096722,0.01568797899490112,2.402435564128732,0.8012006414822819,-0.10602418039047799,-1.60123492264645
486,20241015a,fa/+,Adult,M,4,1.5361589220991565,34.90799245958204,0.044005937146852164,-33.371833537482885,1.0487446223614854,-0.8122987417711643,-1.89132616401816,3.552715813292735,0.429285094281661,1.2728786870194622,-3.123430719011074
487,20241015a,fa/+,Adult,M,5,1.860657560548873,30.14929524706556,0.061714794501870535,-28.288637686516687,0.767162592815831,-0.7725079527388566,-1.4964695539105135,3.4061615480099663,0.6209299524259152,1.0971961985333416,-2.785231595584051
488,20241015a,fa/+,Adult,M,6,4.3776137077466855,15.130368765298424,0.2893263062951092,-10.752755057551738,-0.12153858136468922,-0.46387284864353623,-0.13430304033765156,2.7167039006227705,1.4765037603394697,0.2707061952225321,-1.2402001402833007
489,20241015a,fa/+,Adult,M,7,2.933283588570755,4.464158538719277,0.6570742421285705,-1.5308749501485215,-0.7526804651687471,-0.6409800172273661,0.5820416421786127,1.4960807393944435,1.0761224742304671,-1.1925205082421049,-0.4199582651639764
491,20241015a,fa/+,Adult,M,9,2.116823196411133,12.364488742877912,0.1712018378139935,-10.247665546466779,-0.2852014654297784,-0.7410963177852585,-0.09506828763576089,2.5148285529999153,0.7499164725626234,0.028707346768997655,-1.7649120804372918
