"",rat,gtyp,age,sex,vessel_idx,treatment,bfi_baseline,bfi_change,bfi_injected,log_bfi_baseline,log_bfi_injected,log_bfi_baseline_std,log_bfi_change
201,20240816a,fa/fa,Young,F,8,Empa,54.76179504394531,-4.433605194091797,50.328189849853516,4.002992780086519,3.9185653545117165,-0.46898265466179395,-0.08442742557480232
229,20240816b,fa/+,Young,F,0,Empa,53.11445999145508,-6.553730010986328,46.56072998046875,3.9724492073998197,3.840757481574952,-0.6159826022971648,-0.13169172582486777
230,20240816b,fa/+,Young,F,10,Empa,54.798439025878906,-7.231067657470703,47.5673713684082,4.00366170861905,3.862147050738048,-0.4657632389024621,-0.1415146578810016
231,20240816b,fa/+,Young,F,11,Empa,52.67255783081055,-7.502719879150391,45.169837951660156,3.964094595650304,3.8104295621387174,-0.6561916342362305,-0.15366503351158656
232,20240816b,fa/+,Young,F,12,Empa,51.21919250488281,-6.262416839599609,44.9567756652832,3.9361143154163925,3.8057014873839248,-0.7908549812977591,-0.13041282803246768
233,20240816b,fa/+,Young,F,13,Empa,55.46205520629883,-7.168403625488281,48.29365158081055,4.0156990969532185,3.8773001147695956,-0.4078297589870629,-0.1383989821836229
234,20240816b,fa/+,Young,F,14,Empa,53.80012130737305,-5.493320465087891,48.306800842285156,3.9852757219490824,3.8775723549346464,-0.5542512198414697,-0.10770336701443606
235,20240816b,fa/+,Young,F,15,Empa,54.285980224609375,-6.869468688964844,47.41651153564453,3.994266002527502,3.8589705126769758,-0.5109828442715596,-0.13529548985052609
236,20240816b,fa/+,Young,F,16,Empa,53.71052551269531,-6.399524688720703,47.31100082397461,3.9836089881311914,3.8567428440161016,-0.5622728676842181,-0.12686614411508979
237,20240816b,fa/+,Young,F,17,Empa,55.410770416259766,-6.6895751953125,48.721195220947266,4.014773986703548,3.8861141555503824,-0.41228212478111775,-0.1286598311531657
238,20240816b,fa/+,Young,F,18,Empa,50.01267623901367,-6.042961120605469,43.9697151184082,3.912276498076443,3.7835011041725988,-0.9055815045063572,-0.1287753939038443
239,20240816b,fa/+,Young,F,19,Empa,58.6198616027832,-6.977397918701172,51.64246368408203,4.071073574358485,3.9443442736723644,-0.1413237623766856,-0.12672930068612098
240,20240816b,fa/+,Young,F,1,Empa,56.53856658935547,-8.985115051269531,47.55345153808594,4.034922999792595,3.8618543739088054,-0.31530905946960114,-0.1730686258837899
241,20240816b,fa/+,Young,F,20,Empa,63.37887954711914,-9.391242980957031,53.98763656616211,4.149130675771376,3.988755067872175,0.2343490489857043,-0.16037560789920136
242,20240816b,fa/+,Young,F,21,Empa,57.23858642578125,-9.119861602783203,48.11872482299805,4.047228258816944,3.8736713908176523,-0.2560863728908728,-0.17355686799929204
243,20240816b,fa/+,Young,F,22,Empa,54.98273849487305,-7.458015441894531,47.524723052978516,4.007019290424887,3.861250060960954,-0.4496038866648462,-0.14576922946393323
244,20240816b,fa/+,Young,F,23,Empa,58.94734191894531,-9.23737335205078,49.70996856689453,4.076644535533278,3.9062054877767602,-0.11451186943366276,-0.17043904775651786
