,rat,gtyp,age,sex,vessel_idx,power_empa,power_vehicle,power_ratio,power_change
101,20240816a,fa/fa,Young,F,10,6.381078179274933,4.789892483335554,1.3321965370778677,1.5911856959393793
102,20240816a,fa/fa,Young,F,11,5.526647374599795,5.386618162212953,1.0259957561813358,0.14002921238684252
103,20240816a,fa/fa,Young,F,12,9.546043709863593,12.620590510512846,0.7563864544936957,-3.0745468006492533
104,20240816a,fa/fa,Young,F,13,10.127370143842093,13.334948850689512,0.759460741637448,-3.2075787068474195
105,20240816a,fa/fa,Young,F,14,18.45438528905941,23.00921989672112,0.8020430667312286,-4.554834607661711
106,20240816a,fa/fa,Young,F,15,20.406729367413107,28.587146153305525,0.7138428319489135,-8.180416785892419
107,20240816a,fa/fa,Young,F,16,11.225462341308596,13.999949118874296,0.8018216527783502,-2.7744867775657003
108,20240816a,fa/fa,Young,F,17,2.4821444137186943,4.535021755334104,0.5473280058247108,-2.05287734161541
109,20240816a,fa/fa,Young,F,18,8.18532047996038,7.405516787442294,1.10530037469369,0.7798036925180858
112,20240816a,fa/fa,Young,F,21,3.185158652293532,5.115984702832772,0.6225895574961118,-1.9308260505392396
114,20240816a,fa/fa,Young,F,24,2.9805530982681465,2.4519598897298183,1.2155798758178602,0.5285932085383283
116,20240816a,fa/fa,Young,F,26,14.67762519739851,16.938301133820502,0.8665346708290522,-2.2606759364219915
117,20240816a,fa/fa,Young,F,27,11.717431640624998,13.20653181133848,0.8872451759488427,-1.489100170713483
118,20240816a,fa/fa,Young,F,28,6.689663034752954,6.151583210338243,1.0874701367138175,0.5380798244147105
121,20240816b,fa/+,Young,F,0,3.10335969999549,3.931145167696304,0.7894289240440577,-0.8277854677008136
122,20240816b,fa/+,Young,F,1,8.019799287703488,11.49018323041391,0.6979696604380948,-3.4703839427104217
123,20240816b,fa/+,Young,F,2,8.293811535424842,14.167294283880704,0.5854195846599582,-5.873482748455862
124,20240816b,fa/+,Young,F,3,6.027388201073301,7.700412938214733,0.7827357116345366,-1.6730247371414313
125,20240816b,fa/+,Young,F,4,2.770699777140491,3.813992292984673,0.7264565747122305,-1.0432925158441817
126,20240816b,fa/+,Young,F,5,3.445326958836897,4.194551473424056,0.8213814946999425,-0.749224514587159
127,20240816b,fa/+,Young,F,6,1.801311310841258,5.528233857085742,0.32583847887195483,-3.7269225462444844
128,20240816b,fa/+,Young,F,7,6.449861123528278,15.60090586344401,0.413428629079903,-9.151044739915733
129,20240816b,fa/+,Young,F,8,3.762174203362264,9.619384489197666,0.3911034232582234,-5.857210285835402
130,20240816b,fa/+,Young,F,9,5.559800579327747,6.714724803316421,0.8280012572639978,-1.1549242239886741
131,20240816b,fa/+,Young,F,10,6.595760524552751,14.547606846906143,0.4533914474019126,-7.951846322353393
132,20240816b,fa/+,Young,F,11,5.498691624505605,7.802545110730159,0.7047305137580986,-2.303853486224554
133,20240816b,fa/+,Young,F,12,5.657686797665879,16.48750046439793,0.3431500614591479,-10.82981366673205
134,20240816b,fa/+,Young,F,13,7.642795479167049,10.962812954446546,0.6971564242612669,-3.3200174752794975
135,20240816b,fa/+,Young,F,14,2.7511342336687497,3.539271257925725,0.7773165810639555,-0.7881370242569754
136,20240816b,fa/+,Young,F,15,2.6184280049259856,3.583094312142636,0.7307728395684359,-0.9646663072166506
137,20240816b,fa/+,Young,F,16,2.178664253724386,8.007648921358413,0.272072898689819,-5.828984667634027
