,rat,gtyp,age,sex,vessel_idx,frequency_empa,frequency_vehicle,frequency_change
463,20241025a,fa/fa,Adult,F,15.0,0.0309224644599089,0.0292439897475376,0.0016784747123713
464,20241025a,fa/fa,Adult,F,16.0,0.0255290781051989,0.0246091584055384,0.0009199196996604979
466,20241028a,fa/fa,Adult,M,0.0,0.0216479583920938,0.02519896394814,-0.003551005556046198
467,20241028a,fa/fa,Adult,M,2.0,0.0214021202473497,0.0232199178722442,-0.0018177976248945002
468,20241028a,fa/fa,Adult,M,5.0,0.0217439288174249,0.0235791576484898,-0.0018352288310648987
470,20241028a,fa/fa,Adult,M,11.0,0.0198591892769441,0.0220715791764269,-0.0022123898994827994
471,20241028a,fa/fa,Adult,M,12.0,0.0166569721708245,0.0216480146206795,-0.0049910424498550016
474,20241029b,fa/+,Adult,F,0.0,0.0354290318453327,0.0322266559917258,0.003202375853606901
475,20241029b,fa/+,Adult,F,2.0,0.0320861458833761,0.027708224114994,0.004377921768382097
476,20241029b,fa/+,Adult,F,3.0,0.0381943581489961,0.0362516024409849,0.0019427557080111957
477,20241029b,fa/+,Adult,F,6.0,0.0384589562187913,0.0356423526724554,0.002816603546335901
478,20241029b,fa/+,Adult,F,7.0,0.0318959325175194,0.0278769935080683,0.004018939009451099
479,20241029b,fa/+,Adult,F,8.0,0.0347633639855433,0.0323162144277852,0.0024471495577580993
480,20241029b,fa/+,Adult,F,9.0,0.0318308253291668,0.0280250013585949,0.003805823970571897
482,20241029b,fa/+,Adult,F,12.0,0.0337286526505007,0.0334660947888811,0.00026255786161959865
483,20241029b,fa/+,Adult,F,13.0,0.0339515269880517,0.0340826835442044,-0.0001311565561527006
484,20241029b,fa/+,Adult,F,14.0,0.0342325138525236,0.0326256113958944,0.0016069024566292
485,20241029b,fa/+,Adult,F,15.0,0.0341591586608118,0.0329283203821906,0.0012308382786212005
487,20241029b,fa/+,Adult,F,17.0,0.0318446377524102,0.0252991303775367,0.006545507374873499
488,20241029b,fa/+,Adult,F,19.0,0.0332193631017662,0.0320450071507319,0.0011743559510343018
492,20241029c,fa/+,Adult,F,0.0,0.0349706902993083,0.0325079713488933,0.0024627189504149993
493,20241029c,fa/+,Adult,F,1.0,0.0317627913036503,0.0297007018578967,0.002062089445753597
495,20241029c,fa/+,Adult,F,3.0,0.033476143479486,0.0316357381050314,0.0018404053744546026
496,20241029c,fa/+,Adult,F,4.0,0.0371941107767176,0.0346271501360678,0.002566960640649804
497,20241029c,fa/+,Adult,F,5.0,0.0343501943890545,0.0318130058676915,0.002537188521362997
499,20241029c,fa/+,Adult,F,7.0,0.0348394287803939,0.032688085350517,0.002151343429876898
500,20241029c,fa/+,Adult,F,8.0,0.0318365220888001,0.0295712154169005,0.0022653066718995966
501,20241029c,fa/+,Adult,F,9.0,0.0320922467970656,0.0295486119712342,0.0025436348258313993
502,20241029c,fa/+,Adult,F,10.0,0.0356344530198068,0.0323542420588021,0.003280210961004698
503,20241029c,fa/+,Adult,F,11.0,0.034891017342087,0.0325138589778443,0.0023771583642427027
