,rat,gtyp,age,sex,vessel_idx,treatment,bfi_baseline,bfi_change
296,20240820a,fa/+,Young,M,16,Empa,73.07263946533203,-0.6104736328125
297,20240820a,fa/+,Young,M,17,Empa,82.0265884399414,-1.2925643920898438
298,20240820a,fa/+,Young,M,18,Empa,71.7588882446289,-1.4151687622070312
299,20240820a,fa/+,Young,M,19,Empa,74.13525390625,-3.513252258300781
300,20240820a,fa/+,Young,M,1,Empa,75.09059143066406,-2.4656295776367188
301,20240820a,fa/+,Young,M,21,Empa,60.67060852050781,-3.1899490356445312
302,20240820a,fa/+,Young,M,22,Empa,59.07649612426758,-1.6854095458984375
303,20240820a,fa/+,Young,M,23,Empa,63.59683990478516,-0.98663330078125
304,20240820a,fa/+,Young,M,24,Empa,68.13660430908203,-0.0126266479492187
305,20240820a,fa/+,Young,M,25,Empa,72.04145050048828,-0.3837661743164062
306,20240820a,fa/+,Young,M,26,Empa,61.53334426879883,0.09112548828125
307,20240820a,fa/+,Young,M,27,Empa,62.04755401611328,-1.9623489379882808
308,20240820a,fa/+,Young,M,28,Empa,65.79187774658203,-2.488300323486328
309,20240820a,fa/+,Young,M,2,Empa,67.9627456665039,-0.329010009765625
310,20240820a,fa/+,Young,M,3,Empa,58.07844924926758,-0.7855148315429688
311,20240820a,fa/+,Young,M,4,Empa,66.34844970703125,-0.5836410522460938
312,20240820a,fa/+,Young,M,5,Empa,64.97021484375,0.3368301391601562
313,20240820a,fa/+,Young,M,6,Empa,59.04481887817383,0.864166259765625
314,20240820a,fa/+,Young,M,7,Empa,81.2105941772461,-0.277587890625
315,20240820a,fa/+,Young,M,8,Empa,80.72793579101562,-1.418975830078125
316,20240820a,fa/+,Young,M,9,Empa,67.46955108642578,-1.8614501953125
343,20240820b,fa/fa,Young,M,0,Empa,90.16790771484376,-14.425537109375
344,20240820b,fa/fa,Young,M,10,Empa,86.02555084228516,-13.303581237792969
345,20240820b,fa/fa,Young,M,11,Empa,88.07640075683594,-13.962669372558594
346,20240820b,fa/fa,Young,M,12,Empa,81.42047882080078,-12.69573211669922
347,20240820b,fa/fa,Young,M,14,Empa,98.80179595947266,-20.798065185546875
348,20240820b,fa/fa,Young,M,15,Empa,84.81101989746094,-15.001876831054688
349,20240820b,fa/fa,Young,M,16,Empa,98.27151489257812,-17.5784912109375
350,20240820b,fa/fa,Young,M,17,Empa,80.60270690917969,-12.351448059082031
351,20240820b,fa/fa,Young,M,18,Empa,79.59396362304688,-16.200702667236328
352,20240820b,fa/fa,Young,M,19,Empa,83.24668884277344,-13.523361206054688
353,20240820b,fa/fa,Young,M,1,Empa,79.23407745361328,-13.759544372558594
354,20240820b,fa/fa,Young,M,20,Empa,88.22872161865234,-13.604080200195312
355,20240820b,fa/fa,Young,M,21,Empa,83.78001403808594,-12.142585754394531
356,20240820b,fa/fa,Young,M,22,Empa,78.6298599243164,-12.038818359375
357,20240820b,fa/fa,Young,M,2,Empa,79.9153823852539,-14.870132446289062
358,20240820b,fa/fa,Young,M,3,Empa,94.0353012084961,-20.043556213378903
359,20240820b,fa/fa,Young,M,4,Empa,90.50260925292967,-16.862266540527344
360,20240820b,fa/fa,Young,M,5,Empa,79.60637664794922,-15.546134948730469
361,20240820b,fa/fa,Young,M,6,Empa,106.07941436767578,-21.344390869140625
362,20240820b,fa/fa,Young,M,7,Empa,89.93575286865234,-12.325927734375
363,20240820b,fa/fa,Young,M,8,Empa,78.93900299072266,-13.274665832519531
364,20240820b,fa/fa,Young,M,9,Empa,106.92613983154295,-17.513206481933594
388,20240821a,fa/fa,Young,M,0,Empa,51.052345275878906,-3.673171997070313
389,20240821a,fa/fa,Young,M,10,Empa,58.5234375,-3.654953002929688
390,20240821a,fa/fa,Young,M,11,Empa,50.63515472412109,-3.483592987060547
391,20240821a,fa/fa,Young,M,12,Empa,62.75045394897461,-5.7569580078125
392,20240821a,fa/fa,Young,M,13,Empa,61.1731071472168,-5.515041351318359
393,20240821a,fa/fa,Young,M,14,Empa,81.79744720458984,-7.118263244628906
394,20240821a,fa/fa,Young,M,15,Empa,57.6554069519043,-4.667625427246094
395,20240821a,fa/fa,Young,M,16,Empa,67.8240737915039,-4.7568206787109375
396,20240821a,fa/fa,Young,M,17,Empa,75.1447525024414,-6.436569213867188
397,20240821a,fa/fa,Young,M,18,Empa,80.98676300048828,-8.202873229980469
398,20240821a,fa/fa,Young,M,19,Empa,72.43916320800781,-5.739509582519531
399,20240821a,fa/fa,Young,M,1,Empa,72.31942749023438,-8.302299499511719
400,20240821a,fa/fa,Young,M,20,Empa,66.94699096679688,-2.376991271972656
401,20240821a,fa/fa,Young,M,21,Empa,68.40028381347656,-6.559417724609375
402,20240821a,fa/fa,Young,M,22,Empa,67.68792724609375,-3.90987777709961
403,20240821a,fa/fa,Young,M,23,Empa,62.69581985473633,-3.431427001953125
404,20240821a,fa/fa,Young,M,2,Empa,65.13238525390625,-4.105514526367188
405,20240821a,fa/fa,Young,M,3,Empa,62.78841781616211,-5.560874938964844
406,20240821a,fa/fa,Young,M,4,Empa,54.66815185546875,-3.594200134277344
407,20240821a,fa/fa,Young,M,5,Empa,61.38679885864258,-5.104347229003906
408,20240821a,fa/fa,Young,M,6,Empa,60.54009628295898,-5.309703826904297
409,20240821a,fa/fa,Young,M,7,Empa,50.94652557373047,-3.774028778076172
410,20240821a,fa/fa,Young,M,8,Empa,68.76932525634766,-7.109920501708984
411,20240821a,fa/fa,Young,M,9,Empa,61.7743034362793,-6.603084564208984
433,20240821b,fa/+,Young,M,10,Empa,69.26174926757812,-13.974166870117188
434,20240821b,fa/+,Young,M,11,Empa,69.47870635986328,-15.328594207763672
435,20240821b,fa/+,Young,M,12,Empa,51.57786560058594,-8.190967559814453
436,20240821b,fa/+,Young,M,13,Empa,47.81797790527344,-5.903942108154297
437,20240821b,fa/+,Young,M,14,Empa,51.38644409179688,-9.67373275756836
438,20240821b,fa/+,Young,M,15,Empa,52.71319580078125,-10.242912292480469
439,20240821b,fa/+,Young,M,16,Empa,57.501895904541016,-7.801746368408203
440,20240821b,fa/+,Young,M,17,Empa,55.44573211669922,-7.244796752929687
441,20240821b,fa/+,Young,M,18,Empa,70.21062469482422,-16.51370620727539
442,20240821b,fa/+,Young,M,19,Empa,64.24676513671875,-12.614173889160156
443,20240821b,fa/+,Young,M,20,Empa,67.31187438964844,-15.355548858642578
444,20240821b,fa/+,Young,M,21,Empa,61.21197891235352,-12.592575073242188
445,20240821b,fa/+,Young,M,22,Empa,55.49087905883789,-10.412353515625
446,20240821b,fa/+,Young,M,23,Empa,54.11383438110352,-6.8800201416015625
447,20240821b,fa/+,Young,M,24,Empa,68.75228881835938,-10.22726821899414
448,20240821b,fa/+,Young,M,26,Empa,51.90464019775391,-7.3014984130859375
449,20240821b,fa/+,Young,M,27,Empa,62.654518127441406,-15.272850036621094
450,20240821b,fa/+,Young,M,2,Empa,65.71568298339844,-9.013607025146484
451,20240821b,fa/+,Young,M,4,Empa,59.17729949951172,-10.979503631591797
452,20240821b,fa/+,Young,M,5,Empa,54.29205703735352,-11.406951904296877
453,20240821b,fa/+,Young,M,6,Empa,59.20697784423828,-9.00130844116211
454,20240821b,fa/+,Young,M,7,Empa,60.259765625,-11.255210876464844
455,20240821b,fa/+,Young,M,8,Empa,58.16642761230469,-11.95941162109375
456,20240821b,fa/+,Young,M,9,Empa,55.451148986816406,-8.866329193115234
486,20240822b,fa/+,Young,M,0,Empa,51.83430480957031,-6.398956298828125
487,20240822b,fa/+,Young,M,10,Empa,53.04934310913086,-7.797893524169922
488,20240822b,fa/+,Young,M,11,Empa,56.37261199951172,-9.109733581542969
489,20240822b,fa/+,Young,M,12,Empa,53.96654891967773,-10.259113311767578
490,20240822b,fa/+,Young,M,13,Empa,55.39399719238281,-8.536399841308594
491,20240822b,fa/+,Young,M,15,Empa,62.93694305419922,-12.263504028320312
492,20240822b,fa/+,Young,M,16,Empa,55.62967300415039,-10.683979034423828
493,20240822b,fa/+,Young,M,17,Empa,49.11066436767578,-7.051326751708984
494,20240822b,fa/+,Young,M,18,Empa,57.95954513549805,-9.370635986328123
495,20240822b,fa/+,Young,M,19,Empa,49.843143463134766,-7.256305694580078
496,20240822b,fa/+,Young,M,1,Empa,56.35567474365234,-8.675849914550781
497,20240822b,fa/+,Young,M,20,Empa,51.93701553344727,-8.546272277832031
498,20240822b,fa/+,Young,M,21,Empa,46.48039627075195,-7.333145141601562
499,20240822b,fa/+,Young,M,23,Empa,59.44432067871094,-9.168949127197266
500,20240822b,fa/+,Young,M,24,Empa,51.60798263549805,-8.022354125976562
501,20240822b,fa/+,Young,M,25,Empa,47.68986129760742,-7.925273895263672
502,20240822b,fa/+,Young,M,26,Empa,59.96306610107422,-10.115596771240234
503,20240822b,fa/+,Young,M,27,Empa,56.44164276123047,-8.968891143798828
504,20240822b,fa/+,Young,M,28,Empa,58.2866096496582,-8.128475189208984
