,rat,gtyp,age,sex,vessel_idx,treatment,bfi_baseline,bfi_change
284,20240816b,fa/+,Young,F,5,Vehicle,48.08460998535156,6.036518096923828
285,20240816b,fa/+,Young,F,6,Vehicle,57.35902786254883,5.496723175048828
286,20240816b,fa/+,Young,F,7,Vehicle,49.790645599365234,7.2401885986328125
287,20240816b,fa/+,Young,F,8,Vehicle,51.87151718139648,7.864994049072266
288,20240816b,fa/+,Young,F,9,Vehicle,46.406005859375,5.665142059326172
317,20240820a,fa/+,Young,M,0,Vehicle,81.78399658203125,5.348716735839844
318,20240820a,fa/+,Young,M,10,Vehicle,64.57278442382812,2.1379165649414062
319,20240820a,fa/+,Young,M,11,Vehicle,70.76204681396484,6.850990295410156
320,20240820a,fa/+,Young,M,12,Vehicle,62.43672180175781,4.275123596191406
321,20240820a,fa/+,Young,M,13,Vehicle,68.07434844970703,5.009544372558594
322,20240820a,fa/+,Young,M,14,Vehicle,70.6189193725586,3.3426055908203125
323,20240820a,fa/+,Young,M,15,Vehicle,93.33257293701172,4.394821166992188
324,20240820a,fa/+,Young,M,16,Vehicle,72.02639770507812,6.389137268066406
325,20240820a,fa/+,Young,M,17,Vehicle,77.92093658447266,8.040504455566406
326,20240820a,fa/+,Young,M,18,Vehicle,70.38459777832031,6.400581359863281
327,20240820a,fa/+,Young,M,19,Vehicle,67.70256805419922,5.392982482910156
328,20240820a,fa/+,Young,M,1,Vehicle,72.80811309814453,3.744544982910156
329,20240820a,fa/+,Young,M,20,Vehicle,67.7334976196289,11.762130737304688
330,20240820a,fa/+,Young,M,22,Vehicle,56.12274169921875,5.785236358642578
331,20240820a,fa/+,Young,M,23,Vehicle,61.73043823242188,5.776039123535156
332,20240820a,fa/+,Young,M,24,Vehicle,68.21892547607422,5.676200866699219
333,20240820a,fa/+,Young,M,25,Vehicle,72.95647430419922,6.364540100097656
334,20240820a,fa/+,Young,M,26,Vehicle,58.88677215576172,6.288177490234375
335,20240820a,fa/+,Young,M,28,Vehicle,62.45090866088867,4.867008209228516
336,20240820a,fa/+,Young,M,2,Vehicle,67.07523345947266,4.9294281005859375
337,20240820a,fa/+,Young,M,3,Vehicle,56.98945236206055,3.3586959838867188
338,20240820a,fa/+,Young,M,5,Vehicle,61.76792144775391,6.1094512939453125
339,20240820a,fa/+,Young,M,6,Vehicle,59.80543899536133,3.19497299194336
340,20240820a,fa/+,Young,M,7,Vehicle,79.01972198486328,5.813873291015625
341,20240820a,fa/+,Young,M,8,Vehicle,84.38980102539062,4.9335784912109375
342,20240820a,fa/+,Young,M,9,Vehicle,63.80535888671875,6.269302368164063
365,20240820b,fa/fa,Young,M,0,Vehicle,86.18214416503906,3.721839904785156
366,20240820b,fa/fa,Young,M,10,Vehicle,77.4038314819336,4.883644104003906
367,20240820b,fa/fa,Young,M,11,Vehicle,81.77213287353516,6.448028564453125
368,20240820b,fa/fa,Young,M,12,Vehicle,77.68159484863281,6.283058166503906
369,20240820b,fa/fa,Young,M,13,Vehicle,67.70329284667969,5.248664855957031
370,20240820b,fa/fa,Young,M,14,Vehicle,90.30143737792967,5.8127288818359375
371,20240820b,fa/fa,Young,M,15,Vehicle,84.4781723022461,2.955169677734375
372,20240820b,fa/fa,Young,M,16,Vehicle,102.49092864990234,6.919601440429688
373,20240820b,fa/fa,Young,M,17,Vehicle,78.85082244873047,7.1961517333984375
374,20240820b,fa/fa,Young,M,18,Vehicle,75.59724426269531,3.629119873046875
375,20240820b,fa/fa,Young,M,19,Vehicle,80.3119125366211,6.002494812011719
376,20240820b,fa/fa,Young,M,1,Vehicle,72.78300476074219,3.64129638671875
377,20240820b,fa/fa,Young,M,20,Vehicle,82.13275146484375,5.3358154296875
378,20240820b,fa/fa,Young,M,21,Vehicle,84.36376190185547,2.745635986328125
379,20240820b,fa/fa,Young,M,22,Vehicle,73.18929290771484,4.345634460449219
380,20240820b,fa/fa,Young,M,2,Vehicle,73.40057373046875,4.229728698730469
381,20240820b,fa/fa,Young,M,3,Vehicle,92.11005401611328,3.0096969604492188
382,20240820b,fa/fa,Young,M,4,Vehicle,83.87397766113281,3.8016204833984375
383,20240820b,fa/fa,Young,M,5,Vehicle,71.86022186279297,4.952110290527344
384,20240820b,fa/fa,Young,M,6,Vehicle,94.31884765625,6.217208862304688
385,20240820b,fa/fa,Young,M,7,Vehicle,83.4991226196289,7.1819915771484375
386,20240820b,fa/fa,Young,M,8,Vehicle,69.84349060058594,5.860931396484375
387,20240820b,fa/fa,Young,M,9,Vehicle,93.78555297851562,5.0463409423828125
412,20240821a,fa/fa,Young,M,0,Vehicle,48.3339729309082,1.8415756225585935
413,20240821a,fa/fa,Young,M,10,Vehicle,55.19173049926758,2.18178939819336
414,20240821a,fa/fa,Young,M,12,Vehicle,59.64687347412109,0.3983230590820312
415,20240821a,fa/fa,Young,M,13,Vehicle,57.86054992675781,1.8913078308105469
416,20240821a,fa/fa,Young,M,14,Vehicle,73.36043548583984,1.7785873413085938
417,20240821a,fa/fa,Young,M,15,Vehicle,56.13718032836914,1.375102996826172
418,20240821a,fa/fa,Young,M,16,Vehicle,66.73162078857422,2.18603515625
419,20240821a,fa/fa,Young,M,17,Vehicle,71.36161804199219,3.4480133056640625
420,20240821a,fa/fa,Young,M,18,Vehicle,78.15576934814453,0.699798583984375
421,20240821a,fa/fa,Young,M,19,Vehicle,70.07543182373047,3.558509826660156
422,20240821a,fa/fa,Young,M,1,Vehicle,69.31120300292969,2.074859619140625
423,20240821a,fa/fa,Young,M,20,Vehicle,63.157989501953125,2.973335266113281
424,20240821a,fa/fa,Young,M,22,Vehicle,60.64656066894531,2.87514877319336
425,20240821a,fa/fa,Young,M,2,Vehicle,62.24216079711914,2.505313873291016
426,20240821a,fa/fa,Young,M,3,Vehicle,56.63608551025391,3.04669189453125
427,20240821a,fa/fa,Young,M,4,Vehicle,52.77721405029297,2.0148696899414062
428,20240821a,fa/fa,Young,M,5,Vehicle,59.06573867797852,2.0851058959960938
429,20240821a,fa/fa,Young,M,6,Vehicle,60.79355239868164,0.7029953002929688
430,20240821a,fa/fa,Young,M,7,Vehicle,48.09479904174805,1.4352874755859375
431,20240821a,fa/fa,Young,M,8,Vehicle,66.92955780029297,1.8039398193359373
432,20240821a,fa/fa,Young,M,9,Vehicle,56.704345703125,1.734283447265625
457,20240821b,fa/+,Young,M,0,Vehicle,46.03306198120117,2.4369430541992188
458,20240821b,fa/+,Young,M,10,Vehicle,66.55220794677734,4.939208984375
459,20240821b,fa/+,Young,M,11,Vehicle,62.92070770263672,3.8520584106445312
460,20240821b,fa/+,Young,M,12,Vehicle,48.65829086303711,4.418601989746094
461,20240821b,fa/+,Young,M,13,Vehicle,45.94342041015625,1.2458763122558594
462,20240821b,fa/+,Young,M,14,Vehicle,48.94447326660156,1.9016189575195312
463,20240821b,fa/+,Young,M,15,Vehicle,48.40140151977539,4.172008514404297
464,20240821b,fa/+,Young,M,16,Vehicle,52.64137649536133,3.947921752929688
465,20240821b,fa/+,Young,M,17,Vehicle,51.92280960083008,2.4280776977539062
466,20240821b,fa/+,Young,M,18,Vehicle,66.07378387451172,3.7184371948242183
467,20240821b,fa/+,Young,M,19,Vehicle,62.717384338378906,3.5789566040039062
468,20240821b,fa/+,Young,M,1,Vehicle,43.8038444519043,1.533672332763672
469,20240821b,fa/+,Young,M,20,Vehicle,66.90452575683594,1.74560546875
470,20240821b,fa/+,Young,M,21,Vehicle,60.33955001831055,2.0553207397460938
471,20240821b,fa/+,Young,M,22,Vehicle,54.469818115234375,1.5215187072753906
472,20240821b,fa/+,Young,M,23,Vehicle,50.8759994506836,2.162567138671875
473,20240821b,fa/+,Young,M,24,Vehicle,66.34339141845703,1.9066696166992188
